ID;Institution;academic_year;location;programme;study_mode;cohort;Would you like to give your institution any other feedback on the content and organisation of your course programme?;Would you like to give your institution any other feedback on the link with professional practice / professional careers?;Would you like to give your institution any other feedback on the teachers on your course programme?;Would you like to give your institution any other feedback on support/mentoring?;Would you like to give your institution any other feedback on examination and assessment?;Would you like to give your institution any other feedback on engagement and contact?;Would you like to give your institution any other feedback on studying under special circumstances?
1;1;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Ik voel me echt uitgedaagd en de kennis die ik opdoe is van zeer hoog niveau.;Meer workshops over het behalen van gespecialiseerde certificaten zouden onze carrièrestrajecten enorm versterken.;Het is moeilijk om diepgang te vinden zonder meer één-op-één sessies.;I need more specific guidelines on what 'good progress' actually looks like for this course.;The assessments sometimes test information that was not given enough dedicated time in class.;Het zou fijn zijn als de feedbackloop op vragen wat sneller en meer gestructureerd was.;Meer duidelijkheid over de criteria voor uitstel zou de stressniveau aanzienlijk kunnen verlagen.
2;1;2026/27;Tilburg;Cyber Security;Full-time;Second-year;Het is lastig om op korte termijn hulp te krijgen, ze lijken altijd al boord.;Het zou super nuttig zijn als er meer gekoppelde bedrijven voor stages beschikbaar zouden zijn.;Kunnen we meer tijd krijgen voor individuele feedback? Het is nu te overzichtelijk.;They could improve by recognizing that academic success looks different across cultures.;Meer nadruk leggen op het materiaal uit de weekonderwerpen, want dat miste in de toetsing.;Some lecturers are always available, but others take forever to answer questions.;Meer workshops over time management zijn welkom voor studenten met zorgtaken.
3;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;It was difficult to gauge success because the parameters for grading were constantly shifting.;Het zou echt waardevol zijn om te oefenen met complexe communicatie binnen een multidisciplinair team.;Het voelt alsof we meer als luisteraars zijn in plaats van actieve deelnemers aan discussies.;Zou een grotere mentorpool helpen bij betere bereikbaarheid?;Zou het mogelijk zijn om een betere afstemming te maken tussen de modules en de examenstof?;We need a clearer system for confirming location changes so we don't miss class entirely.;Ik zou graag meer keuzemogelijkheden willen zien qua modulevolgorde en diepte.
4;1;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;Honestly, I feel that [NAME] is grading way too slowly, and we deserve prompt results.;Het zou helpen als de vakken meer de *soft skills* benadrukten, zoals effectief presenteren en onderhandelen.;I feel completely unsupported because getting replies takes far too long, weeks in fact.;The current interval between support meetings feels too long for me to manage effectively.;The wording used in the problem sets was confusing, making it hard to pinpoint the exact solution path.;Het zou nuttig zijn met een centrale contactpagina met alle relevante personen.;Meer begrip voor de mentale belasting van internationale wedstrijden zou gewaardeerd worden.
5;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;Overall, the material is good, but could benefit from some clearer structural outlines.;Having frequent guest speakers would help bridge the gap between theory and practice effectively.;Het is teleurstellend dat we zo weinig diepgaand, individueel advies krijgen.;Alumni talks were wonderful, hearing real-world career journeys was very inspiring for me.;De aanpassingen voor mensen met leerstoornissen zijn echt een enorme verbetering.;A dedicated student lounge with more collaborative spaces would greatly enhance the feeling of belonging.;Could there be clearer pathways on campus that are suitable for everyone?
6;2;2026/27;Tilburg;Software Engineering;Full-time;Second-year;Het is teleurstellend dat we zo weinig sessies hebben om de materie volledig te bestrijken.;Het zou fantastisch zijn als we meer kansen kregen om echte werkplekken te bekijken en de processen te zien.;I wish the instructors spent less time on slides and more time discussing real-world case studies.;Het zou fijn zijn om meer informatie over diverse carrières na afstuderen te ontvangen.;The feedback felt very general, like 'improve your writing,' but didn't help much.;Ik hoop dat er meer flexibiliteit is in de bereikbaarheid van de professoren na 17:00 uur.;Het zou waardevol zijn om de keuzes binnen de studie meer te kunnen personaliseren.
7;2;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;De uitleg van de complexere onderwerpen was soms te snel en miste voldoende concrete voorbeelden.;Dedicated workshops on professional branding and networking etiquette would be very beneficial.;We missen meer 'informele' ontmoetingsplekken online, wat essentieel is voor een goed gevoel van gemeenschap.;De communicatie over aanpassingen is vaak traag en ik weet niet wie ik moet aanspreken.;Ik zou graag zien dat er een strakkere deadline komt voor het ontvangen van de eindbeoordelingen.;The online forums could use clearer moderation and more student-to-student discussion prompts.;Nog meer aandacht voor de sociale aspecten, niet alleen het studiemateriaal, alsjeblieft.
8;1;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;Waarom is [NAME] zo langzaam met het teruggeven van onze examens? Dit is slecht.;Het zou fijn zijn als de koppeling met bedrijven meer verplicht was voor alle studenten.;Ik voel me soms wat verloren in de massa, meer persoonlijke aandacht zou geweldig zijn.;Het zou geweldig zijn als er een expliciet stappenplan was voor elke cursus, met duidelijke mijlpalen.;It feels like the exams test advanced concepts without proper foundational preparation.;"De begeleiding was inconsistent; het voelde alsof ik op het laatste moment vergeet te vragen.";"The counselors need more empathy; it felt transactional and rushed during my appointment."
9;1;2026/27;Eindhoven;ICT & Business;Part-time;First-year;Het vakgebied wordt zo goed belicht dat ik me nu zeker voel voor mijn toekomstige carrièrepad.;Graag zou ik meer projecten willen doen die vereisen dat we commerciële tools en workflows toepassen.;It is tough to get specific feedback because the teaching style feels very general and broadcasted.;Deze peer supportnetwerken hebben echt bijgedragen aan een positieve en ondersteunende sfeer.;Zou het mogelijk zijn om een centraal punt te creëren voor alle toegankelijkheidsinformatie?;Could we have more structured group sessions with coaches? It would boost motivation.;Their empathy made the whole experience much less stressful and much more manageable.
10;1;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;Ik heb ervaren dat de digitale toetsmaterialen soms niet goed functioneren of niet beschikbaar zijn.;Het is fijn, maar meer begeleiding bij het vinden van grotere, internationale stages zou beter zijn.;De wachttijd voor een reactie van de begeleiding is problematisch en vermindert de studentervaring.;It’s great having a supportive peer community, it truly enhances the educational journey here.;A mix of practical skills and theoretical knowledge would be much fairer for grading.;Perhaps a single directory with clear roles and responsibilities would solve this confusion.;I wish there was a clearer roadmap for special grant eligibility criteria.
